source_city,destination_city,distance,travel_mode,season,num_days,hotel_type,activity_level,food_preference,group_size,travel_cost,stay_cost,food_cost,activity_cost,total_cost,per_person_cost
Mumbai,Ooty,1102,flight,monsoon,7,budget,low,mixed,3,2820,5952,6095,1672,16538,5513
Delhi,Udaipur,611,bus,winter,3,4-star,moderate,luxury,1,782,22484,7004,2471,32741,32741
Bangalore,Shimla,2500,car,monsoon,5,3-star,high,luxury,4,12186,10585,10230,10519,39168,9792
Ahmedabad,Agra,998,car,monsoon,14,3-star,moderate,budget,4,5816,35998,7583,11564,54865,13716
Chandigarh,Ladakh,2168,flight,autumn,8,3-star,high,mixed,4,9465,21581,8390,17353,51109,12777
Ahmedabad,Andaman,2110,bus,summer,9,5-star,high,luxury,5,2813,111653,20078,20116,139195,27839
Bangalore,Darjeeling,2290,flight,autumn,14,5-star,moderate,mixed,1,8866,140002,13774,12804,175447,175447
Pune,Manali,1469,bus,autumn,7,5-star,high,luxury,6,1451,90546,15993,14429,110177,18363
Delhi,Agra,262,car,summer,2,4-star,low,mixed,2,1972,14323,1749,471,18515,9258
Chandigarh,Jaisalmer,1301,train,autumn,13,budget,high,budget,6,1587,18233,6555,27032,48066,8011
Kolkata,Udaipur,1657,car,summer,8,5-star,low,luxury,6,15027,100755,17309,2150,121717,20286
Hyderabad,Shimla,1446,flight,winter,3,5-star,high,mixed,7,7935,51165,2704,6180,61185,8741
Bangalore,Darjeeling,2254,car,summer,5,3-star,low,mixed,2,18084,17016,4772,1028,40900,20450
Chennai,Varanasi,1758,flight,monsoon,12,hostel,high,luxury,3,5457,6472,25918,21722,59568,19856
Bangalore,Goa,461,train,monsoon,13,5-star,moderate,budget,1,474,124156,7371,10911,142913,142913
Chennai,Ladakh,3488,bus,summer,7,hostel,high,mixed,5,4686,5564,6595,12747,26633,5327
Kolkata,Munnar,2512,flight,autumn,2,5-star,high,luxury,7,10424,23058,4888,4498,38582,5512
Chandigarh,Andaman,2298,train,autumn,7,hostel,high,budget,5,2847,3883,3932,16113,24098,4820
Ahmedabad,Kerala,1493,car,monsoon,3,hostel,low,budget,7,9005,1476,1359,653,11243,1606
Hyderabad,Shimla,1475,train,autumn,8,hostel,low,mixed,4,2057,5523,7584,1833,15298,3825
Ahmedabad,Agra,1032,train,summer,4,hostel,high,luxury,5,1875,3170,8229,8889,19947,3989
Mumbai,Rishikesh,1779,bus,summer,12,hostel,high,mixed,2,2119,8537,12368,23857,46881,23441
Kolkata,Goa,1902,train,monsoon,3,budget,moderate,budget,4,2245,2707,1284,2645,7993,1998
Kolkata,Kerala,2591,bus,monsoon,10,3-star,moderate,luxury,3,2069,25188,20097,8039,55394,18465
Bangalore,Darjeeling,2243,car,winter,9,3-star,low,luxury,6,22469,33701,21776,2156,72091,12015
Chennai,Varanasi,1702,bus,autumn,14,budget,high,mixed,2,2005,15287,15399,29028,61719,30859
Pune,Manali,1559,train,summer,6,budget,low,luxury,7,2889,8873,14965,1516,25419,3631
Delhi,Ooty,2479,car,autumn,7,4-star,low,luxury,1,17799,44010,13743,1494,77046,77046
Chennai,Shimla,2768,bus,winter,5,4-star,low,mixed,2,3719,35374,4577,1040,44711,22355
Pune,Agra,948,train,monsoon,6,hostel,high,luxury,1,886,3046,13890,14414,32237,32237
Bangalore,Andaman,2322,flight,monsoon,4,4-star,moderate,luxury,1,8713,18290,8616,3533,39151,39151
Bangalore,Shimla,2444,bus,monsoon,11,budget,high,budget,5,1802,10953,5457,25703,39525,7905
Lucknow,Agra,903,bus,monsoon,10,budget,low,luxury,5,750,8581,24132,2209,32105,6421
Bangalore,Jaipur,1819,train,monsoon,11,5-star,moderate,mixed,2,2073,111301,10048,9203,132625,66312
Delhi,Ooty,2468,car,summer,9,4-star,moderate,budget,6,24688,70495,4046,7613,96157,16026
Mumbai,Ooty,1253,bus,autumn,11,hostel,low,mixed,1,1276,6761,11048,2805,21891,21891
Pune,Ooty,1240,flight,autumn,8,hostel,moderate,budget,6,4803,5162,4515,7193,19505,3251
Kolkata,Andaman,1429,train,winter,11,3-star,high,budget,2,2266,41329,5557,26539,75691,37845
Chandigarh,Rishikesh,1393,train,winter,6,3-star,moderate,budget,2,2344,26414,2689,5605,37053,18527
Chennai,Munnar,614,car,monsoon,6,3-star,moderate,mixed,3,3253,13464,5393,6145,28254,9418
Chennai,Darjeeling,2154,bus,autumn,6,3-star,high,luxury,7,1936,18098,13023,12668,41153,5879
Chandigarh,Agra,996,flight,winter,10,hostel,high,budget,3,5280,8105,4517,20066,37967,12656
Chandigarh,Ooty,1212,bus,summer,2,budget,low,mixed,7,1301,3037,1732,509,5921,846
Kolkata,Munnar,2665,train,winter,14,hostel,moderate,budget,1,4546,13062,7849,10713,36170,36170
Mumbai,Varanasi,1456,bus,winter,13,budget,low,luxury,6,1886,24013,28284,3108,51562,8594
Bangalore,Munnar,517,train,autumn,8,budget,low,budget,5,765,9235,3597,1866,13917,2783
Mumbai,Jaipur,1119,train,monsoon,4,3-star,high,mixed,3,1114,9312,4258,8223,22908,7636
Lucknow,Kerala,1596,car,summer,4,3-star,low,mixed,4,15946,11920,3895,845,29346,7336
Lucknow,Goa,957,bus,summer,9,3-star,moderate,luxury,7,1093,29034,18501,7884,50860,7266
Chandigarh,Rishikesh,1265,flight,winter,11,hostel,high,mixed,7,7789,8260,9877,25110,45933,6562
Lucknow,Manali,1486,bus,autumn,7,budget,moderate,budget,6,1389,7803,3861,5618,16805,2801
Pune,Ooty,1330,car,winter,14,hostel,high,luxury,2,14307,12788,28036,32091,87222,43611
Kolkata,Rishikesh,1658,bus,autumn,6,3-star,high,budget,2,1780,18408,2565,14340,37094,18547
Pune,Rishikesh,1300,train,winter,10,3-star,high,mixed,7,2595,33476,10126,20745,60248,8607
Hyderabad,Kerala,1466,train,summer,3,hostel,moderate,mixed,1,2488,2029,3335,2792,10644,10644
Lucknow,Rishikesh,1384,flight,autumn,13,5-star,moderate,mixed,7,5936,155659,14694,10670,168263,24038
Ahmedabad,Ladakh,2138,bus,winter,9,budget,moderate,budget,5,3409,17014,4857,7077,29122,5824
Lucknow,Darjeeling,1435,train,autumn,3,5-star,high,mixed,7,1722,32302,2838,6797,39294,5613
Mumbai,Manali,1828,train,autumn,5,budget,low,luxury,3,2689,5555,11020,1313,20577,6859
Delhi,Udaipur,717,bus,autumn,2,budget,moderate,budget,4,831,2515,992,1795,5519,1380
Delhi,Udaipur,578,car,monsoon,10,hostel,low,mixed,1,2983,5223,9959,2281,20446,20446
Chennai,Andaman,1426,train,winter,6,3-star,high,mixed,5,2370,24858,6679,11808,41143,8229
Bangalore,Manali,2526,bus,monsoon,12,4-star,low,budget,6,2178,48143,6377,2466,53248,8875
Bangalore,Kerala,674,train,autumn,2,hostel,low,mixed,5,796,1393,1819,534,4088,818
Chandigarh,Jaisalmer,1385,car,autumn,14,budget,low,mixed,4,9251,19988,16001,3235,43629,10907
Chennai,Goa,961,train,monsoon,6,budget,low,luxury,4,1051,4986,11670,1226,17039,4260
Delhi,Udaipur,660,car,monsoon,8,3-star,high,luxury,3,3364,19964,15990,15860,55177,18392
Chennai,Jaisalmer,2089,car,winter,7,budget,moderate,luxury,3,20674,11659,17623,6754,56710,18903
Kolkata,Goa,1938,flight,monsoon,3,budget,high,budget,3,7039,2598,1601,6310,17548,5849
Pune,Rishikesh,1315,bus,monsoon,12,3-star,moderate,budget,4,989,24856,5770,10005,37458,9365
Ahmedabad,Rishikesh,1296,bus,autumn,4,5-star,low,mixed,2,1344,43142,3843,862,49191,24596
Hyderabad,Ladakh,2242,train,autumn,13,4-star,low,mixed,2,3146,68546,11504,3560,86756,43378
Delhi,Munnar,2733,train,autumn,9,3-star,moderate,budget,6,4290,22508,4687,7228,34842,5807
Mumbai,Ooty,1261,car,summer,12,4-star,high,luxury,5,11106,76626,28517,28426,130207,26041
Mumbai,Munnar,1599,train,winter,9,budget,moderate,budget,5,2686,17078,3967,7536,28140,5628
Ahmedabad,Udaipur,1126,flight,autumn,11,hostel,low,mixed,7,5235,6679,9506,2384,21423,3060
Hyderabad,Kerala,1596,train,monsoon,13,hostel,high,mixed,4,1687,5631,12527,30110,44959,11240
Ahmedabad,Jaipur,1005,flight,autumn,8,5-star,high,mixed,2,4467,99522,8256,15121,127366,63683
Chandigarh,Rishikesh,1278,car,monsoon,13,hostel,high,luxury,7,6808,5338,27745,27708,60839,8691
Kolkata,Varanasi,602,flight,monsoon,2,budget,high,mixed,6,3989,2117,2001,4807,11622,1937
Ahmedabad,Ooty,1382,bus,autumn,3,hostel,high,mixed,5,1571,1959,3096,6960,12228,2446
Ahmedabad,Agra,939,flight,winter,12,hostel,high,budget,6,4890,9875,6840,24839,41799,6967
Ahmedabad,Udaipur,1066,flight,monsoon,8,5-star,moderate,mixed,1,3792,75143,7548,7811,94293,94293
Ahmedabad,Udaipur,1126,flight,autumn,2,5-star,high,mixed,7,4273,24683,1890,4001,31363,4480
Delhi,Agra,244,bus,summer,11,5-star,low,mixed,6,306,153326,10536,2309,149829,24971
Chandigarh,Rishikesh,1376,bus,summer,4,3-star,moderate,budget,1,1967,13523,1860,3515,20865,20865
Pune,Darjeeling,1434,car,summer,9,4-star,low,mixed,4,13094,64677,9876,2107,80779,20195
Pune,Ladakh,2202,bus,autumn,9,hostel,moderate,budget,3,2325,4883,4593,9122,20924,6975
Chandigarh,Darjeeling,1435,bus,summer,3,5-star,low,luxury,7,1981,46274,6682,748,50117,7160
Mumbai,Ooty,1122,car,autumn,9,hostel,moderate,budget,1,9324,6371,4108,6981,26784,26784
Kolkata,Agra,1355,flight,summer,11,3-star,moderate,budget,5,7660,35574,5433,10282,53054,10611
Bangalore,Munnar,431,bus,autumn,6,budget,moderate,mixed,1,487,7999,6883,5040,20408,20408
Ahmedabad,Udaipur,1113,car,monsoon,14,hostel,high,mixed,5,6931,5832,15632,27892,50659,10132
Hyderabad,Ladakh,2287,bus,summer,10,4-star,moderate,luxury,4,3165,66606,20014,8797,88724,22181
Lucknow,Udaipur,1181,train,autumn,7,budget,high,luxury,2,1420,9429,14879,15954,41682,20841
Chandigarh,Kerala,1469,train,autumn,12,budget,low,budget,4,2043,15359,5307,2557,22739,5685
Hyderabad,Munnar,1436,train,winter,9,3-star,high,mixed,7,2644,40242,8957,16426,61442,8777
Hyderabad,Ooty,1222,train,monsoon,8,budget,low,mixed,6,1426,6969,8277,1866,16684,2781
Hyderabad,Kerala,1537,train,summer,13,4-star,moderate,budget,3,2488,94800,7186,11197,115671,38557
Delhi,Kerala,2789,flight,autumn,11,3-star,moderate,mixed,3,11706,32506,9736,9984,63932,21311
Kolkata,Darjeeling,505,flight,autumn,3,5-star,high,luxury,7,3763,39333,6370,6157,50060,7151
Delhi,Manali,545,car,summer,11,hostel,low,budget,5,4585,7076,5041,2862,17608,3522
Pune,Manali,1595,flight,monsoon,9,3-star,low,luxury,7,5270,18825,18902,2434,40889,5841
Ahmedabad,Manali,1540,car,monsoon,8,3-star,high,budget,6,9264,16358,4045,17996,42895,7149
Chennai,Varanasi,1771,bus,monsoon,14,5-star,low,budget,5,1517,107677,6705,3721,107658,21532
Lucknow,Munnar,1502,flight,winter,7,5-star,moderate,luxury,1,9558,120357,15215,6502,151632,151632
Chandigarh,Ladakh,2252,bus,summer,6,5-star,moderate,luxury,1,2981,86756,12173,5795,107705,107705
Delhi,Manali,460,bus,summer,5,hostel,high,mixed,1,552,3247,5382,11934,21115,21115
Kolkata,Manali,1803,train,summer,10,budget,high,mixed,5,2803,15887,10180,20285,44240,8848
Lucknow,Andaman,2145,flight,autumn,5,hostel,moderate,budget,5,9003,2933,2403,4593,17039,3408
Lucknow,Jaipur,945,bus,monsoon,7,4-star,moderate,mixed,6,720,32824,6553,5827,41331,6889
Lucknow,Munnar,1411,car,autumn,4,hostel,moderate,luxury,7,9599,2838,9015,3636,22580,3226
Lucknow,Udaipur,1073,car,winter,12,hostel,low,mixed,2,9345,10191,13572,2714,35823,17911
Pune,Varanasi,1177,train,summer,14,5-star,moderate,budget,6,2044,175156,6730,12606,176882,29480
Bangalore,Darjeeling,2145,car,monsoon,14,3-star,moderate,budget,4,10829,34256,7405,12811,58771,14693
Pune,Udaipur,1057,flight,winter,5,hostel,low,mixed,1,5222,4713,5131,1051,16117,16117
Mumbai,Ladakh,2508,flight,autumn,12,3-star,high,luxury,7,11480,31994,29507,24678,87893,12556
Mumbai,Goa,560,car,summer,9,budget,moderate,luxury,2,4636,12022,18589,8276,43523,21761
Delhi,Jaipur,306,train,summer,5,5-star,high,budget,4,562,66575,2720,9804,71695,17924
Ahmedabad,Munnar,1423,car,summer,12,4-star,high,luxury,5,12538,91768,22784,23393,135435,27087
Delhi,Manali,615,flight,autumn,4,3-star,low,budget,1,2541,11237,2026,837,16641,16641
Chandigarh,Munnar,1455,car,autumn,11,budget,moderate,luxury,1,11047,13371,22781,8489,55688,55688
Pune,Kerala,1472,flight,summer,7,budget,moderate,budget,1,6968,11009,3923,5541,27441,27441
Lucknow,Ladakh,2147,train,winter,11,3-star,high,budget,6,3835,39637,5155,24987,66252,11042
Kolkata,Udaipur,1661,flight,monsoon,6,5-star,low,mixed,6,4357,60111,6553,1423,65199,10867
Mumbai,Varanasi,1445,bus,monsoon,9,4-star,low,budget,1,1291,38910,4018,2331,46550,46550
Lucknow,Ooty,1284,flight,summer,8,5-star,moderate,budget,2,5946,117423,3537,7240,134145,67073
Pune,Udaipur,1118,car,autumn,13,hostel,high,budget,6,9241,8105,5648,28104,45988,7665
Hyderabad,Shimla,1463,flight,monsoon,10,5-star,moderate,mixed,4,5283,96097,8650,9279,107378,26844
Bangalore,Darjeeling,2205,train,monsoon,6,5-star,high,mixed,2,2044,51630,6094,12974,72742,36371
Chennai,Andaman,1360,flight,summer,3,4-star,moderate,budget,2,6740,18191,1585,2505,29021,14510
Pune,Agra,927,flight,summer,2,budget,low,mixed,3,3812,3032,2173,526,9543,3181
Lucknow,Andaman,2129,car,summer,14,3-star,moderate,budget,6,16139,51448,7646,12633,79079,13180
Delhi,Kerala,2633,car,monsoon,11,hostel,high,budget,6,16847,6018,5030,25256,47836,7973
Mumbai,Andaman,2452,car,winter,2,5-star,moderate,budget,7,22755,34821,959,1741,54248,7750
Hyderabad,Varanasi,1177,flight,summer,12,4-star,low,mixed,1,5741,82858,11392,3172,103162,103162
Pune,Kerala,1544,bus,summer,7,4-star,moderate,luxury,7,2040,49604,13585,6315,64390,9199
Lucknow,Darjeeling,1558,flight,winter,8,budget,moderate,budget,3,7347,12233,4258,6800,30638,10213
Mumbai,Rishikesh,1759,car,summer,4,hostel,low,luxury,5,14653,3320,8628,872,24726,4945
Hyderabad,Darjeeling,1582,train,winter,6,hostel,low,budget,2,2910,5576,2554,1629,12669,6335
Delhi,Jaipur,199,train,autumn,14,hostel,high,budget,2,262,8798,7832,32105,48998,24499
Chandigarh,Andaman,2294,car,monsoon,10,5-star,high,luxury,3,13869,84205,20509,22897,141480,47160
Lucknow,Munnar,1574,train,summer,13,5-star,high,luxury,5,2465,192428,30079,27556,227274,45455
Hyderabad,Jaisalmer,1272,train,winter,12,5-star,high,budget,5,2233,172703,6400,27936,188344,37669
Chandigarh,Agra,976,flight,winter,11,3-star,high,budget,5,4764,41603,5924,21753,66640,13328
Lucknow,Manali,1540,train,summer,5,hostel,low,mixed,6,2661,4283,5436,1107,12138,2023
Ahmedabad,Kerala,1576,flight,summer,13,4-star,moderate,luxury,5,8316,89615,27047,13346,124492,24898
Mumbai,Jaisalmer,998,car,monsoon,8,hostel,low,mixed,7,4939,3351,8185,2002,16629,2376
Lucknow,Ladakh,2165,car,autumn,14,hostel,moderate,budget,3,15954,9405,6691,11941,43991,14664
Lucknow,Udaipur,1060,bus,autumn,14,hostel,moderate,budget,4,1026,8132,6125,14220,26553,6638
Mumbai,Jaisalmer,864,bus,monsoon,4,budget,low,luxury,7,596,3479,9674,1037,13307,1901
Lucknow,Darjeeling,1564,bus,autumn,4,5-star,high,mixed,4,1519,50440,3736,7623,56986,14246
Pune,Varanasi,1037,bus,winter,10,5-star,high,luxury,4,1556,145210,24368,22263,174057,43514
Pune,Agra,909,flight,autumn,13,4-star,low,luxury,1,4099,74044,31718,3510,113372,113372
Kolkata,Jaisalmer,2025,car,summer,13,5-star,low,luxury,1,20019,156138,30215,3387,209759,209759
Delhi,Manali,576,bus,autumn,9,5-star,low,budget,3,602,103652,3987,2356,110597,36866
Delhi,Andaman,3082,train,summer,11,4-star,moderate,budget,7,4765,73086,5075,11161,84678,12097
Pune,Manali,1505,car,winter,8,4-star,moderate,luxury,5,16101,53437,19824,8009,87634,17527
Chandigarh,Manali,1487,flight,autumn,5,5-star,moderate,luxury,5,6229,54456,9633,3948,66839,13368
Chennai,Ooty,634,bus,summer,13,budget,high,budget,6,730,21780,5543,24854,47617,7936
Pune,Andaman,2138,train,winter,8,budget,low,mixed,2,4153,12279,7052,2029,25512,12756
Kolkata,Kerala,2505,bus,winter,13,4-star,high,budget,7,3718,88486,7032,27233,113823,16260
Hyderabad,Darjeeling,1461,flight,monsoon,11,hostel,moderate,budget,1,4154,4936,5435,10409,24934,24934
Pune,Udaipur,1030,car,monsoon,11,3-star,low,budget,1,6061,21877,6236,2349,36523,36523
Chennai,Goa,862,car,summer,4,5-star,low,budget,4,6646,62629,2234,894,65163,16291
Bangalore,Varanasi,1897,train,autumn,7,4-star,low,budget,4,2255,44846,3500,1649,47025,11756
Kolkata,Darjeeling,575,flight,monsoon,13,budget,low,budget,3,2648,13415,5714,3098,24874,8291
Ahmedabad,Goa,1022,car,winter,11,5-star,low,budget,5,10831,155582,6197,2713,157790,31558
Lucknow,Rishikesh,1381,bus,monsoon,11,3-star,high,budget,2,1190,26930,6138,21458,55716,27858
Kolkata,Jaipur,1502,flight,winter,7,budget,high,luxury,2,8757,13224,14445,14659,51086,25543
Pune,Jaipur,939,flight,winter,11,budget,low,luxury,5,5770,19099,24677,2810,47121,9424
Chennai,Udaipur,1685,flight,autumn,10,5-star,high,budget,2,6982,127951,4415,23819,163166,81583
Mumbai,Varanasi,1330,car,summer,14,4-star,moderate,budget,3,11176,85937,7411,11332,115856,38619
Lucknow,Jaisalmer,1290,train,winter,8,4-star,moderate,luxury,5,2334,62254,15853,6816,78531,15706
Lucknow,Manali,1480,flight,monsoon,7,3-star,moderate,luxury,6,4207,17952,17363,6840,41726,6954
Hyderabad,Manali,1527,train,monsoon,14,5-star,high,luxury,2,1519,116574,35087,30649,183828,91914
Pune,Andaman,2240,car,monsoon,3,hostel,moderate,budget,4,13516,1486,1532,2338,16985,4246
Delhi,Shimla,261,flight,summer,10,hostel,low,luxury,1,3401,6614,21952,2156,34123,34123
Chandigarh,Jaipur,972,bus,autumn,13,3-star,low,mixed,2,907,37421,12121,3483,53932,26966
Chennai,Goa,825,flight,autumn,10,budget,low,mixed,5,3395,11856,9588,2088,24234,4847
Hyderabad,Munnar,1488,train,summer,9,hostel,moderate,budget,6,2347,6158,4923,8690,19907,3318
Chandigarh,Jaisalmer,1260,flight,winter,10,3-star,low,luxury,5,7381,42535,24785,2180,69194,13839
Lucknow,Jaisalmer,1326,flight,winter,5,4-star,moderate,mixed,7,7705,35818,4932,4461,47624,6803
Bangalore,Varanasi,1946,bus,monsoon,2,3-star,low,mixed,1,1783,5079,1818,534,9215,9215
Ahmedabad,Ooty,1367,bus,winter,5,3-star,low,mixed,1,1841,19560,5119,1088,27608,27608
Mumbai,Andaman,2594,car,winter,12,budget,low,budget,1,24375,18654,6330,3039,52398,52398
Hyderabad,Darjeeling,1430,train,monsoon,14,budget,moderate,mixed,3,1306,15359,13102,12312,42079,14026
Kolkata,Varanasi,648,car,autumn,2,3-star,moderate,mixed,3,4479,6102,1790,1783,14155,4718
Kolkata,Varanasi,744,car,autumn,5,3-star,moderate,luxury,1,4795,14408,10524,4522,34249,34249
Bangalore,Shimla,2443,car,monsoon,12,4-star,high,budget,1,12106,54641,5899,22841,95487,95487
Kolkata,Kerala,2583,flight,summer,5,hostel,high,mixed,7,12117,3705,4540,9588,26955,3851
Delhi,Jaipur,368,flight,summer,4,5-star,low,budget,4,2887,54187,2152,1091,54285,13571
Bangalore,Udaipur,1525,bus,summer,8,4-star,low,budget,3,1870,51170,4125,2134,59299,19766
Pune,Ooty,1376,flight,summer,5,5-star,moderate,luxury,6,7534,66034,10582,4343,79644,13274
Delhi,Ooty,2597,flight,autumn,7,hostel,low,budget,5,10050,4427,3393,1679,17593,3519
Chandigarh,Darjeeling,1561,train,summer,14,3-star,high,mixed,4,2708,42842,14909,27192,78886,19721
Mumbai,Manali,1988,car,summer,9,3-star,low,luxury,7,15674,29343,18094,2227,58804,8401
Delhi,Shimla,370,bus,winter,14,4-star,moderate,budget,1,460,109638,7937,12279,130314,130314
Hyderabad,Andaman,2226,bus,summer,9,4-star,low,budget,7,3008,61658,4281,2192,64025,9146
Delhi,Andaman,3078,bus,autumn,13,3-star,moderate,budget,2,3677,43163,7064,12484,66388,33194
Mumbai,Darjeeling,2049,bus,summer,3,5-star,high,budget,7,2561,45463,1591,6846,50815,7259
Chennai,Darjeeling,2018,train,summer,10,hostel,low,budget,2,3369,8601,4500,2074,18543,9272
Lucknow,Ladakh,2253,car,monsoon,5,3-star,high,luxury,2,12619,12395,11101,9729,45844,22922
Lucknow,Manali,1470,flight,summer,5,budget,moderate,luxury,5,7237,8387,12386,3899,28718,5744
Hyderabad,Ooty,1279,train,monsoon,4,4-star,moderate,budget,2,1134,15850,2048,3832,22864,11432
Chennai,Manali,2716,car,autumn,6,hostel,low,budget,3,19898,3647,2750,1580,27875,9292
Delhi,Manali,511,car,monsoon,10,5-star,high,mixed,1,3194,96196,9623,19307,128320,128320
Chandigarh,Shimla,1332,flight,winter,4,budget,moderate,budget,7,8230,7063,1813,3735,18757,2680
Hyderabad,Rishikesh,1349,flight,monsoon,12,5-star,high,budget,6,4308,109989,5191,28423,133119,22187
Lucknow,Agra,932,car,winter,6,4-star,low,luxury,3,9170,48287,14743,1414,73615,24538
Mumbai,Agra,1166,flight,autumn,5,5-star,low,mixed,6,5553,49847,4740,1244,55246,9208
Pune,Varanasi,1127,train,monsoon,10,5-star,low,mixed,7,1071,94757,10421,2126,97538,13934
Delhi,Rishikesh,310,car,monsoon,9,budget,low,luxury,6,1899,9294,21305,2300,31318,5220
Lucknow,Varanasi,1072,train,autumn,8,5-star,low,budget,6,1538,79412,4272,2113,78602,13100
Kolkata,Jaisalmer,2058,bus,summer,14,3-star,moderate,mixed,2,2590,45936,13021,14224,75771,37885
Bangalore,Udaipur,1581,car,autumn,9,3-star,low,mixed,7,12482,24965,8477,2379,43473,6210
Chandigarh,Ooty,1368,bus,autumn,4,3-star,high,luxury,1,1420,12976,9850,7807,32053,32053
Delhi,Shimla,303,bus,monsoon,12,4-star,high,luxury,7,261,53392,29099,21673,93983,13426
Pune,Ooty,1393,train,monsoon,11,5-star,high,luxury,6,1417,110900,24592,26086,146695,24449
Ahmedabad,Ladakh,2206,car,summer,3,3-star,low,luxury,3,21077,9491,7510,695,38773,12924
Mumbai,Jaisalmer,871,train,summer,6,budget,high,luxury,4,1236,9280,11869,13492,32290,8072
Ahmedabad,Jaipur,941,car,monsoon,10,budget,low,budget,2,5526,8616,5282,2132,21557,10778
Hyderabad,Manali,1481,train,summer,7,hostel,low,mixed,6,2187,5429,6134,1625,13839,2306
Lucknow,Udaipur,1086,bus,monsoon,7,3-star,low,budget,7,870,16662,3236,1592,20124,2875
Chandigarh,Jaipur,1072,flight,monsoon,4,5-star,high,mixed,3,3595,36599,3746,8749,52689,17563
Ahmedabad,Udaipur,1122,train,autumn,4,5-star,low,budget,1,1554,42310,1957,1004,46825,46825
Chennai,Rishikesh,2643,flight,winter,7,hostel,high,mixed,1,15083,6738,6612,13003,41436,41436
Kolkata,Jaisalmer,2020,car,winter,3,4-star,high,luxury,2,19292,23898,6563,6223,55976,27988
Kolkata,Varanasi,617,car,monsoon,2,5-star,high,luxury,7,3332,17135,4700,4139,26375,3768
Bangalore,Varanasi,1931,bus,winter,10,4-star,low,mixed,7,2327,77652,10486,2189,83389,11913
Hyderabad,Munnar,1442,car,summer,10,3-star,moderate,budget,3,12484,38368,5172,9897,65920,21973
Mumbai,Udaipur,759,bus,winter,10,budget,low,luxury,7,997,16778,21479,2336,37431,5347
Ahmedabad,Rishikesh,1383,flight,autumn,8,budget,high,mixed,5,5922,9701,7239,16447,35378,7076
Chennai,Jaisalmer,2144,bus,autumn,3,3-star,high,budget,3,2275,8935,1569,6087,18866,6289
Chennai,Rishikesh,2591,car,monsoon,7,budget,high,mixed,1,14789,6708,7487,14188,43172,43172
Mumbai,Jaisalmer,915,bus,winter,2,hostel,high,luxury,3,1361,1671,4923,4808,12764,4255
Kolkata,Kerala,2476,flight,monsoon,2,3-star,high,luxury,7,7592,5141,3912,4573,19097,2728
Pune,Ooty,1334,flight,winter,12,3-star,high,luxury,1,6680,50836,25978,24995,108489,108489
Chennai,Ladakh,3335,bus,autumn,13,4-star,high,luxury,1,3642,66197,29703,23983,123525,123525
Chennai,Munnar,672,car,summer,8,5-star,high,mixed,1,5198,105096,9196,18760,138249,138249
Ahmedabad,Udaipur,1183,car,monsoon,7,hostel,low,budget,1,5911,3486,3740,1898,15035,15035
Mumbai,Kerala,1394,flight,autumn,11,3-star,moderate,luxury,2,6110,29857,26112,10157,72235,36117
Ahmedabad,Kerala,1557,flight,winter,14,4-star,low,luxury,5,9102,120578,35260,3498,151593,30319
Bangalore,Varanasi,1840,train,autumn,8,5-star,low,budget,1,2686,98198,3640,1754,106279,106279
Ahmedabad,Kerala,1407,car,monsoon,14,5-star,high,budget,6,8680,128921,6430,27407,154293,25715
Mumbai,Goa,642,bus,monsoon,3,3-star,high,luxury,1,548,7098,5800,7099,20543,20543
Lucknow,Udaipur,1129,car,winter,5,5-star,moderate,luxury,3,12191,75803,11451,4124,103568,34523
Hyderabad,Udaipur,1022,car,monsoon,7,budget,low,mixed,2,6310,7328,6812,1544,21994,10997
Mumbai,Shimla,1990,car,summer,14,3-star,moderate,luxury,2,19246,53075,28666,13779,114766,57383
Pune,Manali,1432,bus,winter,11,budget,moderate,luxury,3,1765,19631,20796,10999,53191,17730
Hyderabad,Rishikesh,1200,flight,summer,10,4-star,high,budget,4,6186,63274,4971,21327,86181,21545
Pune,Kerala,1586,car,winter,12,5-star,low,budget,2,14322,202556,5477,2656,225011,112505
Mumbai,Manali,1923,train,monsoon,14,hostel,moderate,mixed,2,2051,6457,13941,11896,34346,17173
Delhi,Ooty,2494,bus,monsoon,5,hostel,high,budget,7,2205,2205,2305,10099,15132,2162
Chennai,Munnar,563,bus,monsoon,11,3-star,low,luxury,4,409,24202,24815,2890,47085,11771
Chandigarh,Ooty,1256,train,summer,9,3-star,high,mixed,3,2038,33790,9730,18898,64456,21485
Hyderabad,Varanasi,1072,train,summer,7,4-star,high,mixed,7,1607,43385,7063,13774,59246,8464
Kolkata,Shimla,1872,flight,autumn,10,4-star,low,luxury,6,7277,64114,20242,2600,84810,14135
Mumbai,Ladakh,2467,bus,monsoon,6,4-star,moderate,budget,3,2042,27912,2914,6008,38876,12959
Chandigarh,Agra,1090,flight,monsoon,7,hostel,low,mixed,6,4084,3180,6480,1697,13896,2316
Chennai,Darjeeling,2163,flight,winter,9,3-star,high,mixed,2,10799,38278,10250,16783,76110,38055
Delhi,Rishikesh,326,bus,autumn,8,3-star,moderate,luxury,5,355,24585,16010,6639,42829,8566
Pune,Ooty,1224,bus,monsoon,2,hostel,high,luxury,5,1087,901,3742,3852,8624,1725
Chandigarh,Darjeeling,1523,car,summer,9,hostel,low,budget,2,12786,7506,4358,2053,26703,13352
Chandigarh,Manali,1522,train,winter,9,5-star,low,luxury,6,2693,156768,19071,2266,162719,27120
